Word,Category,Starting_Letter,Length,Is_Compound,Component_Count
آب‌لیمو,Noun/Adjective/Misc,الف,7,1,2
آب‌لیموخوری,Noun/Adjective/Misc,الف,11,1,2
آب‌لیموگیری,Noun/Adjective/Misc,الف,11,1,2
آب‌مروارید,Noun/Adjective/Misc,الف,10,1,2
آب‌میوه,Noun/Adjective/Misc,الف,7,1,2
آب‌میوه‌فروش,Noun/Adjective/Misc,الف,12,1,3
آب‌میوه‌فروشی,Noun/Adjective/Misc,الف,13,1,3
آب‌میوه‌گیری,Noun/Adjective/Misc,الف,12,1,3
آب‌نبات,Noun/Adjective/Misc,الف,7,1,2
آب‌نما,Noun/Adjective/Misc,الف,6,1,2
آب‌نمک,Noun/Adjective/Misc,الف,6,1,2
آب‌وتاب,Noun/Adjective/Misc,الف,7,1,2
آب‌پاش,Noun/Adjective/Misc,الف,6,1,2
آب‌پاشی,Noun/Adjective/Misc,الف,7,1,2
آب‌پز,Noun/Adjective/Misc,الف,5,1,2
آب‌چکان,Noun/Adjective/Misc,الف,7,1,2
آب‌ژاول,Noun/Adjective/Misc,الف,7,1,2
آب‌کردن,Noun/Adjective/Misc,الف,7,1,2
آب‌کردنی,Noun/Adjective/Misc,الف,8,1,2
آب‌کشی,Noun/Adjective/Misc,الف,6,1,2
آب‌کشیده,Noun/Adjective/Misc,الف,8,1,2
آب‌گرفته,Noun/Adjective/Misc,الف,8,1,2
آب‌گرفتگی,Noun/Adjective/Misc,الف,9,1,2
آب‌گرم‌کن,Noun/Adjective/Misc,الف,9,1,3
آب‌گوشت,Noun/Adjective/Misc,الف,7,1,2
آب‌گیری,Noun/Adjective/Misc,الف,7,1,2
آتشین‌مزاج,Noun/Adjective/Misc,الف,10,1,2
آتش‌افروز,Noun/Adjective/Misc,الف,9,1,2
آتش‌افروزی,Noun/Adjective/Misc,الف,10,1,2
آتش‌بار,Noun/Adjective/Misc,الف,7,1,2
آتش‌باران,Noun/Adjective/Misc,الف,9,1,2
آتش‌بازی,Noun/Adjective/Misc,الف,8,1,2
آتش‌بس,Noun/Adjective/Misc,الف,6,1,2
آتش‌بیار,Noun/Adjective/Misc,الف,8,1,2
آتش‌خانه,Noun/Adjective/Misc,الف,8,1,2
آتش‌زا,Noun/Adjective/Misc,الف,6,1,2
آتش‌سوزی,Noun/Adjective/Misc,الف,8,1,2
آتش‌فشان,Noun/Adjective/Misc,الف,8,1,2
آتش‌فشانی,Noun/Adjective/Misc,الف,9,1,2
آتش‌نشان,Noun/Adjective/Misc,الف,8,1,2
آتش‌نشانی,Noun/Adjective/Misc,الف,9,1,2
آتش‌پاره,Noun/Adjective/Misc,الف,8,1,2
آتش‌پرست,Noun/Adjective/Misc,الف,8,1,2
آتش‌پرستی,Noun/Adjective/Misc,الف,9,1,2
آتش‌گردان,Noun/Adjective/Misc,الف,9,1,2
آتش‌گرفته,Noun/Adjective/Misc,الف,9,1,2
آتش‌گیر,Noun/Adjective/Misc,الف,7,1,2
آتل‌بندی,Noun/Adjective/Misc,الف,8,1,2
آتل‌پیچ,Noun/Adjective/Misc,الف,7,1,2
آتیه‌دار,Noun/Adjective/Misc,الف,8,1,2
آتی‌ساز,Noun/Adjective/Misc,الف,7,1,2
آت‌آشغال,Noun/Adjective/Misc,الف,8,1,2
آجیل‌خوری,Noun/Adjective/Misc,الف,9,1,2
آجیل‌فروش,Noun/Adjective/Misc,الف,9,1,2
آجیل‌فروشی,Noun/Adjective/Misc,الف,10,1,2
آخرت‌گرا,Noun/Adjective/Misc,الف,8,1,2
آخ‌واوخ,Noun/Adjective/Misc,الف,7,1,2
آداب‌الصلوه,Noun/Adjective/Misc,الف,11,1,2
آداب‌دان,Noun/Adjective/Misc,الف,8,1,2
آدامس‌فروش,Noun/Adjective/Misc,الف,10,1,2
آدامس‌فروشی,Noun/Adjective/Misc,الف,11,1,2
آدرس‌دهی,Noun/Adjective/Misc,الف,8,1,2
آدرس‌نویسی,Noun/Adjective/Misc,الف,10,1,2
آدم‌آهنی,Noun/Adjective/Misc,الف,8,1,2
آدم‌برفی,Noun/Adjective/Misc,الف,8,1,2
آدم‌خوار,Noun/Adjective/Misc,الف,8,1,2
آدم‌خواری,Noun/Adjective/Misc,الف,9,1,2
آدم‌ربا,Noun/Adjective/Misc,الف,7,1,2
آدم‌ربایی,Noun/Adjective/Misc,الف,9,1,2
آدم‌شناس,Noun/Adjective/Misc,الف,8,1,2
آدم‌فروش,Noun/Adjective/Misc,الف,8,1,2
آدم‌فروشی,Noun/Adjective/Misc,الف,9,1,2
آدم‌ندیده,Noun/Adjective/Misc,الف,9,1,2
آدم‌نما,Noun/Adjective/Misc,الف,7,1,2
آدیس‌آبابا,Noun/Adjective/Misc,الف,10,1,2
آذری‌تبار,Noun/Adjective/Misc,الف,9,1,2
آذری‌زبان,Noun/Adjective/Misc,الف,9,1,2
آذین‌بخش,Noun/Adjective/Misc,الف,8,1,2
آذین‌شده,Noun/Adjective/Misc,الف,8,1,2
آراسته‌شده,Noun/Adjective/Misc,الف,10,1,2
آرامش‌بخش,Noun/Adjective/Misc,الف,9,1,2
آرامش‌دهنده,Noun/Adjective/Misc,الف,11,1,2
آرام‌آرام,Noun/Adjective/Misc,الف,9,1,2
آرام‌بخش,Noun/Adjective/Misc,الف,8,1,2
آرام‌سازی,Noun/Adjective/Misc,الف,9,1,2
آرام‌پز,Noun/Adjective/Misc,الف,7,1,2
آرام‌کننده,Noun/Adjective/Misc,الف,10,1,2
آرام‌گرفته,Noun/Adjective/Misc,الف,10,1,2
آرایش‌شده,Noun/Adjective/Misc,الف,9,1,2
آرایش‌کرده,Noun/Adjective/Misc,الف,10,1,2
آرایه‌شناس,Noun/Adjective/Misc,الف,10,1,2
آرمان‌خواه,Noun/Adjective/Misc,الف,10,1,2
آرمان‌خواهانه,Noun/Adjective/Misc,الف,13,1,2
آرمان‌خواهی,Noun/Adjective/Misc,الف,11,1,2
آرمان‌شهر,Noun/Adjective/Misc,الف,9,1,2
آرمان‌گرا,Noun/Adjective/Misc,الف,9,1,2
آرمان‌گرایانه,Noun/Adjective/Misc,الف,13,1,2
آرمان‌گرایی,Noun/Adjective/Misc,الف,11,1,2
آرواره‌دار,Noun/Adjective/Misc,الف,10,1,2
آرپی‌جی,Noun/Adjective/Misc,الف,7,1,2
آزاده‌پرور,Noun/Adjective/Misc,الف,10,1,2
آزادی‌بخش,Noun/Adjective/Misc,الف,9,1,2
آزادی‌جویانه,Noun/Adjective/Misc,الف,12,1,2
آزادی‌خواه,Noun/Adjective/Misc,الف,10,1,2
آزادی‌خواهانه,Noun/Adjective/Misc,الف,13,1,2
آزادی‌خواهی,Noun/Adjective/Misc,الف,11,1,2
آزادی‌ستیز,Noun/Adjective/Misc,الف,10,1,2
آزادی‌طلب,Noun/Adjective/Misc,الف,9,1,2
آزادی‌طلبی,Noun/Adjective/Misc,الف,10,1,2
آزرده‌خاطر,Noun/Adjective/Misc,الف,10,1,2
آزرده‌دل,Noun/Adjective/Misc,الف,8,1,2
آزمایش‌شده,Noun/Adjective/Misc,الف,10,1,2
آزمایش‌شونده,Noun/Adjective/Misc,الف,12,1,2
آزمایش‌کننده,Noun/Adjective/Misc,الف,12,1,2
آزمون‌پذیر,Noun/Adjective/Misc,الف,10,1,2
آسان‌سازی,Noun/Adjective/Misc,الف,9,1,2
آسان‌فهم,Noun/Adjective/Misc,الف,8,1,2
آسان‌گیری,Noun/Adjective/Misc,الف,9,1,2
آسایش‌طلب,Noun/Adjective/Misc,الف,9,1,2
آسایش‌طلبی,Noun/Adjective/Misc,الف,10,1,2
آستانه‌اشرفیه,Noun/Adjective/Misc,الف,13,1,2
آسفالت‌ریزی,Noun/Adjective/Misc,الف,11,1,2
آسفالت‌کار,Noun/Adjective/Misc,الف,10,1,2
آسفالت‌کاری,Noun/Adjective/Misc,الف,11,1,2
آسمان‌آباد,Noun/Adjective/Misc,الف,10,1,2
آسمان‌جل,Noun/Adjective/Misc,الف,8,1,2
آسمان‌خراش,Noun/Adjective/Misc,الف,10,1,2
آسمان‌غرنبه,Noun/Adjective/Misc,الف,11,1,2
آسمان‌نما,Noun/Adjective/Misc,الف,9,1,2
آسوده‌خاطر,Noun/Adjective/Misc,الف,10,1,2
آسوده‌خیال,Noun/Adjective/Misc,الف,10,1,2
آسوده‌خیالی,Noun/Adjective/Misc,الف,11,1,2
آسوده‌دل,Noun/Adjective/Misc,الف,8,1,2
آسیب‌دیده,Noun/Adjective/Misc,الف,9,1,2
آسیب‌دیدگی,Noun/Adjective/Misc,الف,10,1,2
آسیب‌رسان,Noun/Adjective/Misc,الف,9,1,2
آسیب‌رسانی,Noun/Adjective/Misc,الف,10,1,2
آسیب‌زا,Noun/Adjective/Misc,الف,7,1,2
آسیب‌زده,Noun/Adjective/Misc,الف,8,1,2
آسیب‌زدگی,Noun/Adjective/Misc,الف,9,1,2
آسیب‌زننده,Noun/Adjective/Misc,الف,10,1,2
آسیب‌شناس,Noun/Adjective/Misc,الف,9,1,2
آسیب‌شناسی,Noun/Adjective/Misc,الف,10,1,2
آسیب‌ناپذیر,Noun/Adjective/Misc,الف,11,1,2
آسیب‌ندیده,Noun/Adjective/Misc,الف,10,1,2
آسیب‌پذیر,Noun/Adjective/Misc,الف,9,1,2
آسیب‌پذیری,Noun/Adjective/Misc,الف,10,1,2
آسیمه‌سر,Noun/Adjective/Misc,الف,8,1,2
آس‌وپاس,Noun/Adjective/Misc,الف,7,1,2
آشتی‌جویانه,Noun/Adjective/Misc,الف,11,1,2
آشتی‌جویی,Noun/Adjective/Misc,الف,9,1,2
آشتی‌دهنده,Noun/Adjective/Misc,الف,10,1,2
آشتی‌طلبانه,Noun/Adjective/Misc,الف,11,1,2
آشتی‌ناپذیر,Noun/Adjective/Misc,الف,11,1,2
آشتی‌پذیر,Noun/Adjective/Misc,الف,9,1,2
آشتی‌کن,Noun/Adjective/Misc,الف,7,1,2
آشتی‌کننده,Noun/Adjective/Misc,الف,10,1,2
آشغال‌جمع‌کن,Noun/Adjective/Misc,الف,12,1,3
آشغال‌دان,Noun/Adjective/Misc,الف,9,1,2
آشغال‌فروش,Noun/Adjective/Misc,الف,10,1,2
آشفته‌بازار,Noun/Adjective/Misc,الف,11,1,2
آشفته‌حال,Noun/Adjective/Misc,الف,9,1,2
آشفته‌خاطر,Noun/Adjective/Misc,الف,10,1,2
آشنایی‌زدایی,Noun/Adjective/Misc,الف,12,1,2
آشوب‌آفرینی,Noun/Adjective/Misc,الف,11,1,2
آشوب‌زده,Noun/Adjective/Misc,الف,8,1,2
آشوب‌طلب,Noun/Adjective/Misc,الف,8,1,2
آشوب‌طلبانه,Noun/Adjective/Misc,الف,11,1,2
آش‌خور,Noun/Adjective/Misc,الف,6,1,2
آفتاب‌خورده,Noun/Adjective/Misc,الف,11,1,2
آفتاب‌زده,Noun/Adjective/Misc,الف,9,1,2
آفتاب‌زدگی,Noun/Adjective/Misc,الف,10,1,2
آفتاب‌سوخته,Noun/Adjective/Misc,الف,11,1,2
آفتاب‌سوختگی,Noun/Adjective/Misc,الف,12,1,2
آفتاب‌نزده,Noun/Adjective/Misc,الف,10,1,2
آفتاب‌پرست,Noun/Adjective/Misc,الف,10,1,2
آفتاب‌پرستی,Noun/Adjective/Misc,الف,11,1,2
آفتاب‌گردان,Noun/Adjective/Misc,الف,11,1,2
آفتاب‌گیر,Noun/Adjective/Misc,الف,9,1,2
آفت‌دیده,Noun/Adjective/Misc,الف,8,1,2
آفت‌رسیده,Noun/Adjective/Misc,الف,9,1,2
آفت‌زا,Noun/Adjective/Misc,الف,6,1,2
آفت‌زده,Noun/Adjective/Misc,الف,7,1,2
آفت‌زدگی,Noun/Adjective/Misc,الف,8,1,2
آفت‌پذیر,Noun/Adjective/Misc,الف,8,1,2
آفت‌کش,Noun/Adjective/Misc,الف,6,1,2
آفریده‌شده,Noun/Adjective/Misc,الف,10,1,2
آفریقایی‌تبار,Noun/Adjective/Misc,الف,13,1,2
آفرین‌گو,Noun/Adjective/Misc,الف,8,1,2
آق‌بانو,Noun/Adjective/Misc,الف,7,1,2
آق‌قلا,Noun/Adjective/Misc,الف,6,1,2
آلبالویی‌رنگ,Noun/Adjective/Misc,الف,12,1,2
آلبانیایی‌تبار,Noun/Adjective/Misc,الف,14,1,2
آلبانی‌زبان,Noun/Adjective/Misc,الف,11,1,2
آلرژی‌زا,Noun/Adjective/Misc,الف,8,1,2
آلمانی‌زبان,Noun/Adjective/Misc,الف,11,1,2
آلن‌پو,Noun/Adjective/Misc,الف,6,1,2
آلوده‌دامان,Noun/Adjective/Misc,الف,11,1,2
آلوده‌ساز,Noun/Adjective/Misc,الف,9,1,2
آلوده‌شده,Noun/Adjective/Misc,الف,9,1,2
آلوده‌کننده,Noun/Adjective/Misc,الف,11,1,2
آلودگی‌زدایی,Noun/Adjective/Misc,الف,12,1,2
آلومینیوم‌دار,Noun/Adjective/Misc,الف,13,1,2
آلومینیوم‌سازی,Noun/Adjective/Misc,الف,14,1,2
آل‌بویه,Noun/Adjective/Misc,الف,7,1,2
آل‌زده,Noun/Adjective/Misc,الف,6,1,2
آل‌زدگی,Noun/Adjective/Misc,الف,7,1,2
آل‌عمران,Noun/Adjective/Misc,الف,8,1,2
آل‌پاچینو,Noun/Adjective/Misc,الف,9,1,2
آماده‌باش,Noun/Adjective/Misc,الف,9,1,2
آماده‌ساز,Noun/Adjective/Misc,الف,9,1,2
آماده‌شده,Noun/Adjective/Misc,الف,9,1,2
آمرزش‌خواه,Noun/Adjective/Misc,الف,10,1,2
آمریکایی‌تبار,Noun/Adjective/Misc,الف,13,1,2
آمفی‌تئاتر,Noun/Adjective/Misc,الف,10,1,2
آموخته‌شده,Noun/Adjective/Misc,الف,10,1,2
آموزش‌دهنده,Noun/Adjective/Misc,الف,11,1,2
آموزش‌دیده,Noun/Adjective/Misc,الف,10,1,2
آموزش‌گیرنده,Noun/Adjective/Misc,الف,12,1,2
آموزش‌یافته,Noun/Adjective/Misc,الف,11,1,2
آمپلی‌فایر,Noun/Adjective/Misc,الف,10,1,2
آمپی‌سیلین,Noun/Adjective/Misc,الف,10,1,2
آمیخته‌شده,Noun/Adjective/Misc,الف,10,1,2
آنتیک‌فروش,Noun/Adjective/Misc,الف,10,1,2
آنتیک‌فروشی,Noun/Adjective/Misc,الف,11,1,2
آنتی‌اسید,Noun/Adjective/Misc,الف,9,1,2
آنتی‌بیوتیک‌دار,Noun/Adjective/Misc,الف,15,1,3
آنتی‌توکسین,Noun/Adjective/Misc,الف,11,1,2
آنزیم‌ساز,Noun/Adjective/Misc,الف,9,1,2
آن‌سو,Noun/Adjective/Misc,الف,5,1,2
آن‌طرف,Noun/Adjective/Misc,الف,6,1,2
آن‌طرف‌تر,Noun/Adjective/Misc,الف,9,1,3
آن‌قدر,Noun/Adjective/Misc,الف,6,1,2
آن‌چنان,Noun/Adjective/Misc,الف,7,1,2
آن‌که,Noun/Adjective/Misc,الف,5,1,2
آهسته‌آهسته,Noun/Adjective/Misc,الف,11,1,2
آهنگ‌ساز,Noun/Adjective/Misc,الف,8,1,2
آهنگ‌سازی,Noun/Adjective/Misc,الف,9,1,2
آهنین‌پنجه,Noun/Adjective/Misc,الف,10,1,2
آهن‌آلات,Noun/Adjective/Misc,الف,8,1,2
آهن‌بر,Noun/Adjective/Misc,الف,6,1,2
آهن‌بری,Noun/Adjective/Misc,الف,7,1,2
آهن‌ربا,Noun/Adjective/Misc,الف,7,1,2
آهن‌ربایی,Noun/Adjective/Misc,الف,9,1,2
آهن‌فروش,Noun/Adjective/Misc,الف,8,1,2
آهن‌فروشی,Noun/Adjective/Misc,الف,9,1,2
آهن‌قراضه,Noun/Adjective/Misc,الف,9,1,2
آهن‌پاره,Noun/Adjective/Misc,الف,8,1,2
آهن‌کار,Noun/Adjective/Misc,الف,7,1,2
آهک‌دار,Noun/Adjective/Misc,الف,7,1,2
آوازه‌خوان,Noun/Adjective/Misc,الف,10,1,2
آوازه‌خوانی,Noun/Adjective/Misc,الف,11,1,2
آویشن‌دار,Noun/Adjective/Misc,الف,9,1,2
آپارات‌خانه,Noun/Adjective/Misc,الف,11,1,2
آپارتمان‌ساز,Noun/Adjective/Misc,الف,12,1,2
آپارتمان‌سازی,Noun/Adjective/Misc,الف,13,1,2
آپارتمان‌نشین,Noun/Adjective/Misc,الف,13,1,2
آپارتمان‌نشینی,Noun/Adjective/Misc,الف,14,1,2
آگاهی‌بخش,Noun/Adjective/Misc,الف,9,1,2
آگاهی‌دهنده,Noun/Adjective/Misc,الف,11,1,2
آگاه‌سازنده,Noun/Adjective/Misc,الف,11,1,2
آگاه‌سازی,Noun/Adjective/Misc,الف,9,1,2
آگاه‌کننده,Noun/Adjective/Misc,الف,10,1,2
آگهی‌دهنده,Noun/Adjective/Misc,الف,10,1,2
آگهی‌دهندگان,Noun/Adjective/Misc,الف,12,1,2
آیتم‌سازی,Noun/Adjective/Misc,الف,9,1,2
آیت‌الله,Noun/Adjective/Misc,الف,8,1,2
آیت‌الکرسی,Noun/Adjective/Misc,الف,10,1,2
آینده‌بینی,Noun/Adjective/Misc,الف,10,1,2
آینده‌ساز,Noun/Adjective/Misc,الف,9,1,2
آینده‌نگر,Noun/Adjective/Misc,الف,9,1,2
آینده‌نگرانه,Noun/Adjective/Misc,الف,12,1,2
آینده‌نگری,Noun/Adjective/Misc,الف,10,1,2
آینده‌پژوه,Noun/Adjective/Misc,الف,10,1,2
آینه‌بندان,Noun/Adjective/Misc,الف,10,1,2
آینه‌بندی,Noun/Adjective/Misc,الف,9,1,2
آینه‌کار,Noun/Adjective/Misc,الف,8,1,2
آینه‌کاری,Noun/Adjective/Misc,الف,9,1,2
آیینه‌بندان,Noun/Adjective/Misc,الف,11,1,2
آیینه‌خانه,Noun/Adjective/Misc,الف,10,1,2
آیینه‌کاری,Noun/Adjective/Misc,الف,10,1,2
آیین‌بندی,Noun/Adjective/Misc,الف,9,1,2
آیین‌مند,Noun/Adjective/Misc,الف,8,1,2
آیین‌نامه,Noun/Adjective/Misc,الف,9,1,2
آیین‌پرست,Noun/Adjective/Misc,الف,9,1,2
آی‌دی,Noun/Adjective/Misc,الف,5,1,2
آی‌فون,Noun/Adjective/Misc,الف,6,1,2
آی‌کیو,Noun/Adjective/Misc,الف,6,1,2
ائتلاف‌ساز,Noun/Adjective/Misc,الف,10,1,2
ائتلاف‌سازی,Noun/Adjective/Misc,الف,11,1,2
اباحه‌گر,Noun/Adjective/Misc,الف,8,1,2
ابداع‌شده,Noun/Adjective/Misc,الف,9,1,2
ابداع‌کننده,Noun/Adjective/Misc,الف,11,1,2
ابداع‌گر,Noun/Adjective/Misc,الف,8,1,2
ابراهیم‌آباد,Noun/Adjective/Misc,الف,12,1,2
ابراهیم‌خان,Noun/Adjective/Misc,الف,11,1,2
ابراهیم‌زاده,Noun/Adjective/Misc,الف,12,1,2
ابریشم‌باف,Noun/Adjective/Misc,الف,10,1,2
ابریشم‌بافی,Noun/Adjective/Misc,الف,11,1,2
ابریشم‌دوزی,Noun/Adjective/Misc,الف,11,1,2
ابریشم‌فروش,Noun/Adjective/Misc,الف,11,1,2
ابطال‌شده,Noun/Adjective/Misc,الف,9,1,2
ابطال‌ناپذیر,Noun/Adjective/Misc,الف,12,1,2
ابطال‌ناپذیری,Noun/Adjective/Misc,الف,13,1,2
ابطال‌پذیر,Noun/Adjective/Misc,الف,10,1,2
ابطال‌پذیری,Noun/Adjective/Misc,الف,11,1,2
ابطال‌کننده,Noun/Adjective/Misc,الف,11,1,2
ابطال‌گرا,Noun/Adjective/Misc,الف,9,1,2
ابلاغ‌شده,Noun/Adjective/Misc,الف,9,1,2
ابلاغ‌نامه,Noun/Adjective/Misc,الف,10,1,2
ابنیه‌سازی,Noun/Adjective/Misc,الف,10,1,2
ابن‌الوقت,Noun/Adjective/Misc,الف,9,1,2
ابن‌بابویه,Noun/Adjective/Misc,الف,10,1,2
ابن‌بطوطه,Noun/Adjective/Misc,الف,9,1,2
ابن‌سینا,Noun/Adjective/Misc,الف,8,1,2
ابهام‌آفرین,Noun/Adjective/Misc,الف,11,1,2
ابهام‌آلود,Noun/Adjective/Misc,الف,10,1,2
ابهام‌آمیز,Noun/Adjective/Misc,الف,10,1,2
ابهام‌آور,Noun/Adjective/Misc,الف,9,1,2
ابهام‌انگیز,Noun/Adjective/Misc,الف,11,1,2
ابهام‌برانگیز,Noun/Adjective/Misc,الف,13,1,2
ابهام‌زا,Noun/Adjective/Misc,الف,8,1,2
ابهام‌زدایی,Noun/Adjective/Misc,الف,11,1,2
ابهت‌انگیز,Noun/Adjective/Misc,الف,10,1,2
ابی‌طالب,Noun/Adjective/Misc,الف,8,1,2
ابی‌عبدالله,Noun/Adjective/Misc,الف,11,1,2
اتاق‌خواب,Noun/Adjective/Misc,الف,9,1,2
اتاق‌دار,Noun/Adjective/Misc,الف,8,1,2
اتاق‌سازی,Noun/Adjective/Misc,الف,9,1,2
اتاق‌سرا,Noun/Adjective/Misc,الف,8,1,2
اتحادیه‌گرایی,Noun/Adjective/Misc,الف,13,1,2
اتصال‌پذیر,Noun/Adjective/Misc,الف,10,1,2
اتم‌شکافی,Noun/Adjective/Misc,الف,9,1,2
اتهام‌آمیز,Noun/Adjective/Misc,الف,10,1,2
اتهام‌برانگیز,Noun/Adjective/Misc,الف,13,1,2
اتهام‌نامه,Noun/Adjective/Misc,الف,10,1,2
اتهام‌پراکنی,Noun/Adjective/Misc,الف,12,1,2
اتوبان‌سازی,Noun/Adjective/Misc,الف,11,1,2
اتوبوس‌ران,Noun/Adjective/Misc,الف,10,1,2
اتوبوس‌رانی,Noun/Adjective/Misc,الف,11,1,2
اتوبوس‌سازی,Noun/Adjective/Misc,الف,11,1,2
اتومبیل‌ران,Noun/Adjective/Misc,الف,11,1,2
اتومبیل‌رانی,Noun/Adjective/Misc,الف,12,1,2
اتومبیل‌سازی,Noun/Adjective/Misc,الف,12,1,2
اتومبیل‌سواری,Noun/Adjective/Misc,الف,13,1,2
اتومبیل‌فروشی,Noun/Adjective/Misc,الف,13,1,2
اثاث‌کشی,Noun/Adjective/Misc,الف,8,1,2
اثبات‌شده,Noun/Adjective/Misc,الف,9,1,2
اثبات‌ناپذیر,Noun/Adjective/Misc,الف,12,1,2
اثبات‌نشدن,Noun/Adjective/Misc,الف,10,1,2
اثبات‌کننده,Noun/Adjective/Misc,الف,11,1,2
اثبات‌گرا,Noun/Adjective/Misc,الف,9,1,2
اثبات‌گرایی,Noun/Adjective/Misc,الف,11,1,2
اجابت‌کننده,Noun/Adjective/Misc,الف,11,1,2
اجاره‌بها,Noun/Adjective/Misc,الف,9,1,2
اجاره‌شده,Noun/Adjective/Misc,الف,9,1,2
اجاره‌نامه,Noun/Adjective/Misc,الف,10,1,2
اجاره‌نامچه,Noun/Adjective/Misc,الف,11,1,2
اجاره‌نشین,Noun/Adjective/Misc,الف,10,1,2
اجاره‌نشینی,Noun/Adjective/Misc,الف,11,1,2
اجاره‌کننده,Noun/Adjective/Misc,الف,11,1,2
اجازه‌نامه,Noun/Adjective/Misc,الف,10,1,2
اجاق‌کور,Noun/Adjective/Misc,الف,8,1,2
اجاق‌گاز,Noun/Adjective/Misc,الف,8,1,2
اجتماعی‌سرا,Noun/Adjective/Misc,الف,11,1,2
اجتماع‌پذیری,Noun/Adjective/Misc,الف,12,1,2
اجتماع‌کننده,Noun/Adjective/Misc,الف,12,1,2
اجتناب‌ناپذیر,Noun/Adjective/Misc,الف,13,1,2
اجتناب‌پذیر,Noun/Adjective/Misc,الف,11,1,2
اجتناب‌کننده,Noun/Adjective/Misc,الف,12,1,2
اجرت‌المثل,Noun/Adjective/Misc,الف,10,1,2
اجنبی‌پرست,Noun/Adjective/Misc,الف,10,1,2
احاطه‌شده,Noun/Adjective/Misc,الف,9,1,2
احاطه‌کننده,Noun/Adjective/Misc,الف,11,1,2
احترام‌آمیز,Noun/Adjective/Misc,الف,11,1,2
احترام‌برانگیز,Noun/Adjective/Misc,الف,14,1,2
احترام‌گذاری,Noun/Adjective/Misc,الف,12,1,2
احتیاط‌آمیز,Noun/Adjective/Misc,الف,11,1,2
احتیاط‌کاری,Noun/Adjective/Misc,الف,11,1,2
احداث‌شده,Noun/Adjective/Misc,الف,9,1,2
احداث‌کننده,Noun/Adjective/Misc,الف,11,1,2
احساس‌برانگیز,Noun/Adjective/Misc,الف,13,1,2
احساس‌گرا,Noun/Adjective/Misc,الف,9,1,2
احساس‌گرایانه,Noun/Adjective/Misc,الف,13,1,2
احسان‌بخش,Noun/Adjective/Misc,الف,9,1,2
احمدی‌نژاد,Noun/Adjective/Misc,الف,10,1,2
احوال‌پرسی,Noun/Adjective/Misc,الف,10,1,2
اختراع‌شده,Noun/Adjective/Misc,الف,10,1,2
اختصاص‌یافته,Noun/Adjective/Misc,الف,12,1,2
اختلاف‌آفرینی,Noun/Adjective/Misc,الف,13,1,2
